STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Louisiana,2000,Intermix WUI,0.0820713967782511,11133.120102731898,241808.0
Louisiana,2000,Non-WUI,0.8889538921947013,120588.059130209,1104672.0
Louisiana,2000,WUI Total,0.1110461078052985,15063.587360132738,742509.0
Louisiana,2010,Interface WUI,0.0291886219266781,3959.48462313799,551093.0
Louisiana,2010,Intermix WUI,0.0919022697262101,12466.6942045599,274539.0
Louisiana,2010,Non-WUI,0.8789091083471117,119225.467662644,1139349.0
Louisiana,2010,WUI Total,0.1210908916528882,16426.17882769789,825632.0
Louisiana,2020,Interface WUI,0.0301606068425702,4091.33597734252,589321.0
Louisiana,2020,Intermix WUI,0.0928514483929023,12595.4518535102,290585.0
Louisiana,2020,Non-WUI,0.8769879447645273,118964.858659489,1193294.0
Louisiana,2020,WUI Total,0.1230120552354726,16686.78783085272,879906.0
Maine,1990,Interface WUI,0.0113194855582897,1037.24267302365,161463.0
Maine,1990,Intermix WUI,0.1358280854660625,12446.3859876853,271726.0
Maine,1990,Non-WUI,0.8528524289756476,78149.74705079,153856.0
Maine,1990,WUI Total,0.1471475710243522,13483.62866070895,433189.0
Maine,2000,Interface WUI,0.0133010559722892,1218.82065926846,183054.0
Maine,2000,Intermix WUI,0.1600095793905415,14662.2179057324,313926.0
Maine,2000,Non-WUI,0.826689364637169,75752.337146498,154921.0
Maine,2000,WUI Total,0.1733106353628308,15881.03856500086,496980.0
Maine,2010,Interface WUI,0.0137142993047917,1256.68754081593,196071.0
Maine,2010,Intermix WUI,0.1818892818580746,16667.1289023957,367421.0
Maine,2010,Non-WUI,0.8043964188371336,73709.5592682874,158338.0
Maine,2010,WUI Total,0.1956035811628663,17923.81644321163,563492.0
Maine,2020,Interface WUI,0.0137899377303569,1263.61854508398,200709.0
Maine,2020,Intermix WUI,0.182093059942016,16685.801776123302,378392.0
Maine,2020,Non-WUI,0.8041170023276268,73683.9553902919,159971.0
Maine,2020,WUI Total,0.195882997672373,17949.420321207283,579101.0
Maryland,1990,Interface WUI,0.0779886080453415,2505.85740009407,272526.0
Maryland,1990,Intermix WUI,0.1448393704283981,4653.8439050220695,190238.0
Maryland,1990,Non-WUI,0.7771720215262603,24971.3683844108,1429153.0
Maryland,1990,WUI Total,0.2228279784737397,7159.701305116139,462764.0
Maryland,2000,Interface WUI,0.0697272192427442,2240.41014074552,326820.0
Maryland,2000,Intermix WUI,0.1747030324803582,5613.39531159803,212377.0
Maryland,2000,Non-WUI,0.7555697482768974,24277.264237183103,1606086.0
Maryland,2000,WUI Total,0.2444302517231025,7853.80545234355,539197.0
Maryland,2010,Interface WUI,0.0728530248589161,2340.84561883467,387283.0
Maryland,2010,Intermix WUI,0.1830710834068697,5882.26973908332,229032.0
Maryland,2010,Non-WUI,0.7440758917342141,23907.954331608897,1762499.0
